Lexema: '''
	Seccion de
	Datos
''' Tipo: comentarioMl Linea: 5 Columna: 4
Lexema: imprimir Tipo: imprimir Linea: 7 Columna: 9
Lexema: ( Tipo: parA Linea: 7 Columna: 9
Lexema: /***** ***** *****  Tipo: cadena Linea: 7 Columna: 30
Lexema: ) Tipo: parC Linea: 7 Columna: 31
Lexema: ; Tipo: puntoComa Linea: 7 Columna: 32
Lexema: imprimir Tipo: imprimir Linea: 8 Columna: 9
Lexema: ( Tipo: parA Linea: 8 Columna: 9
Lexema: Claves Tipo: cadena Linea: 8 Columna: 17
Lexema: ) Tipo: parC Linea: 8 Columna: 18
Lexema: ; Tipo: puntoComa Linea: 8 Columna: 19
Lexema: imprimir Tipo: imprimir Linea: 9 Columna: 9
Lexema: ( Tipo: parA Linea: 9 Columna: 9
Lexema:  ***** ***** *****\ Tipo: cadena Linea: 9 Columna: 30
Lexema: ) Tipo: parC Linea: 9 Columna: 31
Lexema: ; Tipo: puntoComa Linea: 9 Columna: 32
Lexema: imprimirln Tipo: imprimirln Linea: 10 Columna: 11
Lexema: ( Tipo: parA Linea: 10 Columna: 11
Lexema:   Tipo: cadena Linea: 10 Columna: 14
Lexema: ) Tipo: parC Linea: 10 Columna: 15
Lexema: ; Tipo: puntoComa Linea: 10 Columna: 16
Lexema: imprimirln Tipo: imprimirln Linea: 11 Columna: 11
Lexema: ( Tipo: parA Linea: 11 Columna: 11
Lexema:   Tipo: cadena Linea: 11 Columna: 14
Lexema: ) Tipo: parC Linea: 11 Columna: 15
Lexema: ; Tipo: puntoComa Linea: 11 Columna: 16
Lexema: Claves Tipo: claves Linea: 13 Columna: 7
Lexema: = Tipo: igual Linea: 13 Columna: 8
Lexema: [ Tipo: corA Linea: 13 Columna: 10
Lexema: codigo Tipo: cadena Linea: 14 Columna: 9
Lexema: , Tipo: coma Linea: 14 Columna: 10
Lexema: producto Tipo: cadena Linea: 14 Columna: 21
Lexema: , Tipo: coma Linea: 14 Columna: 22
Lexema: precio_compra Tipo: cadena Linea: 14 Columna: 38
Lexema: , Tipo: coma Linea: 14 Columna: 39
Lexema: precio_venta Tipo: cadena Linea: 15 Columna: 15
Lexema: , Tipo: coma Linea: 15 Columna: 16
Lexema: stock Tipo: cadena Linea: 15 Columna: 24
Lexema: ] Tipo: corC Linea: 16 Columna: 1
Lexema: imprimir Tipo: imprimir Linea: 18 Columna: 9
Lexema: ( Tipo: parA Linea: 18 Columna: 9
Lexema: /***** ***** *****  Tipo: cadena Linea: 18 Columna: 30
Lexema: ) Tipo: parC Linea: 18 Columna: 31
Lexema: ; Tipo: puntoComa Linea: 18 Columna: 32
Lexema: imprimir Tipo: imprimir Linea: 19 Columna: 9
Lexema: ( Tipo: parA Linea: 19 Columna: 9
Lexema: Registros Tipo: cadena Linea: 19 Columna: 20
Lexema: ) Tipo: parC Linea: 19 Columna: 21
Lexema: ; Tipo: puntoComa Linea: 19 Columna: 22
Lexema: imprimir Tipo: imprimir Linea: 20 Columna: 9
Lexema: ( Tipo: parA Linea: 20 Columna: 9
Lexema:  ***** ***** *****\ Tipo: cadena Linea: 20 Columna: 30
Lexema: ) Tipo: parC Linea: 20 Columna: 31
Lexema: ; Tipo: puntoComa Linea: 20 Columna: 32
Lexema: imprimirln Tipo: imprimirln Linea: 21 Columna: 11
Lexema: ( Tipo: parA Linea: 21 Columna: 11
Lexema:   Tipo: cadena Linea: 21 Columna: 14
Lexema: ) Tipo: parC Linea: 21 Columna: 15
Lexema: ; Tipo: puntoComa Linea: 21 Columna: 16
Lexema: imprimirln Tipo: imprimirln Linea: 22 Columna: 11
Lexema: ( Tipo: parA Linea: 22 Columna: 11
Lexema:   Tipo: cadena Linea: 22 Columna: 14
Lexema: ) Tipo: parC Linea: 22 Columna: 15
Lexema: ; Tipo: puntoComa Linea: 22 Columna: 16
Lexema: Registros Tipo: registros Linea: 24 Columna: 10
Lexema: = Tipo: igual Linea: 24 Columna: 11
Lexema: [ Tipo: corA Linea: 24 Columna: 13
Lexema: { Tipo: llaveA Linea: 25 Columna: 2
Lexema: 1 Tipo: entero Linea: 25 Columna: 4
Lexema: , Tipo: coma Linea: 25 Columna: 4
Lexema: Barbacoa Tipo: cadena Linea: 25 Columna: 15
Lexema: , Tipo: coma Linea: 25 Columna: 16
Lexema: 10.50 Tipo: decimal Linea: 25 Columna: 23
Lexema: , Tipo: coma Linea: 25 Columna: 23
Lexema: 20.00 Tipo: decimal Linea: 25 Columna: 30
Lexema: , Tipo: coma Linea: 25 Columna: 30
Lexema: 6 Tipo: entero Linea: 25 Columna: 33
Lexema: } Tipo: llaveC Linea: 25 Columna: 33
Lexema: { Tipo: llaveA Linea: 26 Columna: 2
Lexema: 2 Tipo: entero Linea: 26 Columna: 4
Lexema: , Tipo: coma Linea: 26 Columna: 4
Lexema: Salsa Tipo: cadena Linea: 26 Columna: 12
Lexema: , Tipo: coma Linea: 26 Columna: 13
Lexema: 13.00 Tipo: decimal Linea: 26 Columna: 20
Lexema: , Tipo: coma Linea: 26 Columna: 20
Lexema: 16.00 Tipo: decimal Linea: 26 Columna: 27
Lexema: , Tipo: coma Linea: 26 Columna: 27
Lexema: 7 Tipo: entero Linea: 26 Columna: 30
Lexema: } Tipo: llaveC Linea: 26 Columna: 30
Lexema: { Tipo: llaveA Linea: 27 Columna: 2
Lexema: 3 Tipo: entero Linea: 27 Columna: 4
Lexema: , Tipo: coma Linea: 27 Columna: 4
Lexema: Mayonesa Tipo: cadena Linea: 27 Columna: 15
Lexema: , Tipo: coma Linea: 27 Columna: 16
Lexema: 15.00 Tipo: decimal Linea: 27 Columna: 23
Lexema: , Tipo: coma Linea: 27 Columna: 23
Lexema: 18.00 Tipo: decimal Linea: 27 Columna: 30
Lexema: , Tipo: coma Linea: 27 Columna: 30
Lexema: 8 Tipo: entero Linea: 27 Columna: 33
Lexema: } Tipo: llaveC Linea: 27 Columna: 33
Lexema: { Tipo: llaveA Linea: 28 Columna: 2
Lexema: 4 Tipo: entero Linea: 28 Columna: 4
Lexema: , Tipo: coma Linea: 28 Columna: 4
Lexema: Mostaza Tipo: cadena Linea: 28 Columna: 14
Lexema: , Tipo: coma Linea: 28 Columna: 15
Lexema: 14.00 Tipo: decimal Linea: 28 Columna: 22
Lexema: , Tipo: coma Linea: 28 Columna: 22
Lexema: 16.00 Tipo: decimal Linea: 28 Columna: 29
Lexema: , Tipo: coma Linea: 28 Columna: 29
Lexema: 4 Tipo: entero Linea: 28 Columna: 32
Lexema: } Tipo: llaveC Linea: 28 Columna: 32
Lexema: { Tipo: llaveA Linea: 29 Columna: 2
Lexema: 5 Tipo: entero Linea: 29 Columna: 4
Lexema: , Tipo: coma Linea: 29 Columna: 4
Lexema: Frijol Tipo: cadena Linea: 29 Columna: 13
Lexema: , Tipo: coma Linea: 29 Columna: 14
Lexema: 10.50 Tipo: decimal Linea: 29 Columna: 21
Lexema: , Tipo: coma Linea: 29 Columna: 21
Lexema: 20.00 Tipo: decimal Linea: 29 Columna: 28
Lexema: , Tipo: coma Linea: 29 Columna: 28
Lexema: 1 Tipo: entero Linea: 29 Columna: 31
Lexema: } Tipo: llaveC Linea: 29 Columna: 31
Lexema: { Tipo: llaveA Linea: 30 Columna: 2
Lexema: 6 Tipo: entero Linea: 30 Columna: 4
Lexema: , Tipo: coma Linea: 30 Columna: 4
Lexema: Azucar Tipo: cadena Linea: 30 Columna: 13
Lexema: , Tipo: coma Linea: 30 Columna: 14
Lexema: 13.00 Tipo: decimal Linea: 30 Columna: 21
Lexema: , Tipo: coma Linea: 30 Columna: 21
Lexema: 16.00 Tipo: decimal Linea: 30 Columna: 28
Lexema: , Tipo: coma Linea: 30 Columna: 28
Lexema: 3 Tipo: entero Linea: 30 Columna: 31
Lexema: } Tipo: llaveC Linea: 30 Columna: 31
Lexema: { Tipo: llaveA Linea: 31 Columna: 2
Lexema: 7 Tipo: entero Linea: 31 Columna: 4
Lexema: , Tipo: coma Linea: 31 Columna: 4
Lexema: Carton de Huevos Tipo: cadena Linea: 31 Columna: 23
Lexema: , Tipo: coma Linea: 31 Columna: 24
Lexema: 15.00 Tipo: decimal Linea: 31 Columna: 31
Lexema: , Tipo: coma Linea: 31 Columna: 31
Lexema: 18.00 Tipo: decimal Linea: 31 Columna: 38
Lexema: , Tipo: coma Linea: 31 Columna: 38
Lexema: 2 Tipo: entero Linea: 31 Columna: 41
Lexema: } Tipo: llaveC Linea: 31 Columna: 41
Lexema: { Tipo: llaveA Linea: 32 Columna: 2
Lexema: 8 Tipo: entero Linea: 32 Columna: 4
Lexema: , Tipo: coma Linea: 32 Columna: 4
Lexema: Sal en libra Tipo: cadena Linea: 32 Columna: 19
Lexema: , Tipo: coma Linea: 32 Columna: 20
Lexema: 14.00 Tipo: decimal Linea: 32 Columna: 27
Lexema: , Tipo: coma Linea: 32 Columna: 27
Lexema: 16.00 Tipo: decimal Linea: 32 Columna: 34
Lexema: , Tipo: coma Linea: 32 Columna: 34
Lexema: 4 Tipo: entero Linea: 32 Columna: 37
Lexema: } Tipo: llaveC Linea: 32 Columna: 37
Lexema: { Tipo: llaveA Linea: 33 Columna: 2
Lexema: 9 Tipo: entero Linea: 33 Columna: 4
Lexema: , Tipo: coma Linea: 33 Columna: 4
Lexema: Consome Tipo: cadena Linea: 33 Columna: 14
Lexema: , Tipo: coma Linea: 33 Columna: 15
Lexema: 10.50 Tipo: decimal Linea: 33 Columna: 22
Lexema: , Tipo: coma Linea: 33 Columna: 22
Lexema: 20.00 Tipo: decimal Linea: 33 Columna: 29
Lexema: , Tipo: coma Linea: 33 Columna: 29
Lexema: 6 Tipo: entero Linea: 33 Columna: 32
Lexema: } Tipo: llaveC Linea: 33 Columna: 32
Lexema: { Tipo: llaveA Linea: 34 Columna: 2
Lexema: 10 Tipo: entero Linea: 34 Columna: 5
Lexema: , Tipo: coma Linea: 34 Columna: 5
Lexema: Arroz Tipo: cadena Linea: 34 Columna: 13
Lexema: , Tipo: coma Linea: 34 Columna: 14
Lexema: 13.00 Tipo: decimal Linea: 34 Columna: 21
Lexema: , Tipo: coma Linea: 34 Columna: 21
Lexema: 16.00 Tipo: decimal Linea: 34 Columna: 28
Lexema: , Tipo: coma Linea: 34 Columna: 28
Lexema: 0 Tipo: entero Linea: 34 Columna: 31
Lexema: } Tipo: llaveC Linea: 34 Columna: 31
Lexema: { Tipo: llaveA Linea: 35 Columna: 2
Lexema: 11 Tipo: entero Linea: 35 Columna: 5
Lexema: , Tipo: coma Linea: 35 Columna: 5
Lexema: Cafe en sobre Tipo: cadena Linea: 35 Columna: 21
Lexema: , Tipo: coma Linea: 35 Columna: 22
Lexema: 15.00 Tipo: decimal Linea: 35 Columna: 29
Lexema: , Tipo: coma Linea: 35 Columna: 29
Lexema: 18.00 Tipo: decimal Linea: 35 Columna: 36
Lexema: , Tipo: coma Linea: 35 Columna: 36
Lexema: 0 Tipo: entero Linea: 35 Columna: 39
Lexema: } Tipo: llaveC Linea: 35 Columna: 39
Lexema: { Tipo: llaveA Linea: 36 Columna: 2
Lexema: 12 Tipo: entero Linea: 36 Columna: 5
Lexema: , Tipo: coma Linea: 36 Columna: 5
Lexema: 1/2 litro de agua pura Tipo: cadena Linea: 36 Columna: 30
Lexema: , Tipo: coma Linea: 36 Columna: 31
Lexema: 14.00 Tipo: decimal Linea: 36 Columna: 38
Lexema: , Tipo: coma Linea: 36 Columna: 38
Lexema: 16.00 Tipo: decimal Linea: 36 Columna: 45
Lexema: , Tipo: coma Linea: 36 Columna: 45
Lexema: 4 Tipo: entero Linea: 36 Columna: 48
Lexema: } Tipo: llaveC Linea: 36 Columna: 48
Lexema: ] Tipo: corC Linea: 37 Columna: 1
Lexema: # Conteo Tipo: comentarioLn Linea: 39 Columna: 9
Lexema: imprimirln Tipo: imprimirln Linea: 40 Columna: 19
